AlterSchätzung,DeutscherN,Heimisch
60,Japanische Nelken-Kirsche,Andere
10,Japanische Nelken-Kirsche,Andere
30,Coloradotanne,Andere
85,Japanische Nelken-Kirsche,Andere
35,Japanische Nelken-Kirsche,Andere
90,Japanische Nelken-Kirsche,Andere
70,Japanische Nelken-Kirsche,Andere
30,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
35,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
10,Schwedische Mehlbeere,Andere
25,Schwedische Mehlbeere,Andere
45,"Crataegus, Dorn",Heimisch
45,"Crataegus, Dorn",Heimisch
45,Lederblättriger Weißdorn,Andere
60,Lederblättriger Weißdorn,Andere
35,"Crataegus, Dorn",Heimisch
45,"Crataegus, Dorn",Heimisch
50,"Crataegus, Dorn",Heimisch
20,"Crataegus, Dorn",Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
60,Kugelahorn,Heimisch
60,Kugelahorn,Heimisch
55,Kugelahorn,Heimisch
75,Japanische Nelken-Kirsche,Andere
80,Japanische Nelken-Kirsche,Andere
70,Japanische Nelken-Kirsche,Andere
75,Japanische Nelken-Kirsche,Andere
80,Japanische Nelken-Kirsche,Andere
80,Japanische Nelken-Kirsche,Andere
40,Japanische Nelken-Kirsche,Andere
70,Japanische Nelken-Kirsche,Andere
35,Japanische Nelken-Kirsche,Andere
50,Japanische Nelken-Kirsche,Andere
80,Japanische Nelken-Kirsche,Andere
60,Lederblättriger Weißdorn,Andere
75,Linde,Heimisch
50,Linde,Heimisch
55,Linde,Heimisch
60,Linde,Heimisch
60,Platane,Heimisch
60,Platane,Heimisch
45,Platane,Heimisch
25,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
60,Platane,Heimisch
50,Platane,Heimisch
55,Platane,Heimisch
50,Platane,Heimisch
20,Erle,Heimisch
25,Erle,Heimisch
20,Erle,Heimisch
30,Erle,Heimisch
50,Platane,Heimisch
55,Platane,Heimisch
30,Erle,Heimisch
45,Erle,Heimisch
35,Erle,Heimisch
40,Erle,Heimisch
55,Platane,Heimisch
30,Erle,Heimisch
50,Erle,Heimisch
30,Erle,Heimisch
55,Platane,Heimisch
60,Platane,Heimisch
30,Erle,Heimisch
45,Platane,Heimisch
50,Erle,Heimisch
50,Erle,Heimisch
55,Platane,Heimisch
40,Erle,Heimisch
25,Erle,Heimisch
55,Platane,Heimisch
30,Erle,Heimisch
30,Erle,Heimisch
25,Erle,Heimisch
25,Erle,Heimisch
25,Erle,Heimisch
50,Erle,Heimisch
55,Erle,Heimisch
30,Platane,Heimisch
25,Platane,Heimisch
25,Platane,Heimisch
25,Platane,Heimisch
25,Platane,Heimisch
25,Platane,Heimisch
40,Italienische Erle,Andere
20,Platane,Heimisch
40,Platane,Heimisch
35,Platane,Heimisch
35,Platane,Heimisch
40,Platane,Heimisch
25,Italienische Erle,Andere
35,Erle,Heimisch
50,Platane,Heimisch
35,Platane,Heimisch
40,Platane,Heimisch
30,Platane,Heimisch
40,Platane,Heimisch
35,Platane,Heimisch
25,Platane,Heimisch
30,Platane,Heimisch
20,Platane,Heimisch
40,Platane,Heimisch
40,Platane,Heimisch
40,Platane,Heimisch
35,Platane,Heimisch
35,Platane,Heimisch
35,Platane,Heimisch
80,Linde,Heimisch
45,Platane,Heimisch
40,Platane,Heimisch
45,Platane,Heimisch
45,Platane,Heimisch
35,Platane,Heimisch
35,Platane,Heimisch
40,Platane,Heimisch
70,Platane,Heimisch
55,Platane,Heimisch
65,Platane,Heimisch
55,Platane,Heimisch
45,Platane,Heimisch
45,Platane,Heimisch
50,Platane,Heimisch
60,Platane,Heimisch
35,Birke,Heimisch
30,Birke,Heimisch
50,Birke,Heimisch
40,Schwarzkiefer,Andere
45,Birke,Heimisch
40,Birke,Heimisch
25,Rot-Buche,Heimisch
30,Rot-Buche,Heimisch
55,Platane,Heimisch
50,Platane,Heimisch
55,Platane,Heimisch
65,Platane,Heimisch
45,Platane,Heimisch
45,Platane,Heimisch
30,Platane,Heimisch
40,Platane,Heimisch
35,Platane,Heimisch
25,Platane,Heimisch
35,Platane,Heimisch
35,Platane,Heimisch
55,Platane,Heimisch
25,Platane,Heimisch
60,Platane,Heimisch
60,Platane,Heimisch
50,Platane,Heimisch
35,Platane,Heimisch
40,Platane,Heimisch
55,Platane,Heimisch
30,Mehlbeere,Heimisch
40,Magnolie,Andere
30,Magnolie,Andere
15,Magnolie,Andere
10,Mehlbeere,Heimisch
30,Magnolie,Andere
40,Mehlbeere,Heimisch
30,Mehlbeere,Heimisch
60,Mehlbeere,Heimisch
40,Mehlbeere,Heimisch
35,Mehlbeere,Heimisch
10,Mehlbeere,Heimisch
40,Mehlbeere,Heimisch
35,Mehlbeere,Heimisch
50,Platane,Heimisch
55,Platane,Heimisch
45,Platane,Heimisch
40,Platane,Heimisch
40,Platane,Heimisch
40,Platane,Heimisch
55,Platane,Heimisch
60,Platane,Heimisch
65,Platane,Heimisch
50,Platane,Heimisch
70,Spitzahorn,Heimisch
20,"Sommer-Eiche, Stieleiche",Heimisch
60,Pappel,Heimisch
90,"Sommer-Eiche, Stieleiche",Heimisch
40,"Sommer-Eiche, Stieleiche",Heimisch
60,Spitzahorn,Heimisch
30,Späte Traubenkirsche,Andere
45,Platane,Heimisch
60,Platane,Heimisch
20,Platane,Heimisch
55,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
45,Platane,Heimisch
35,Platane,Heimisch
30,Platane,Heimisch
40,Platane,Heimisch
35,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
45,Platane,Heimisch
40,Platane,Heimisch
35,Platane,Heimisch
25,Platane,Heimisch
55,Platane,Heimisch
40,Platane,Heimisch
55,Platane,Heimisch
55,Platane,Heimisch
50,Platane,Heimisch
45,Platane,Heimisch
30,Platane,Heimisch
30,Platane,Heimisch
45,Platane,Heimisch
45,Platane,Heimisch
55,Platane,Heimisch
50,Platane,Heimisch
35,Platane,Heimisch
35,Platane,Heimisch
55,Platane,Heimisch
60,Platane,Heimisch
50,Platane,Heimisch
40,Platane,Heimisch
25,Platane,Heimisch
45,Platane,Heimisch
40,Platane,Heimisch
45,Platane,Heimisch
45,Platane,Heimisch
40,Platane,Heimisch
45,Platane,Heimisch
40,Platane,Heimisch
55,Platane,Heimisch
35,Platane,Heimisch
45,Platane,Heimisch
45,Platane,Heimisch
40,Platane,Heimisch
45,Platane,Heimisch
35,Platane,Heimisch
50,Platane,Heimisch
35,Platane,Heimisch
30,Platane,Heimisch
15,Mehlbeere,Heimisch
10,Zierkirsche 'Spire',Heimisch
10,Mehlbeere,Heimisch
10,Zierkirsche 'Spire',Heimisch
10,Zierkirsche 'Spire',Heimisch
10,Zierkirsche 'Spire',Heimisch
10,Zierkirsche 'Spire',Heimisch
15,Mehlbeere,Heimisch
15,Mehlbeere,Heimisch
10,Zierkirsche 'Spire',Heimisch
15,Mehlbeere,Heimisch
10,Mehlbeere,Heimisch
15,Mehlbeere,Heimisch
15,Mehlbeere,Heimisch
10,Zierkirsche 'Spire',Heimisch
15,Mehlbeere,Heimisch
15,Mehlbeere,Heimisch
30,Spitzahorn,Heimisch
20,Spitzahorn,Heimisch
15,Spitzahorn,Heimisch
15,Spitzahorn,Heimisch
40,Platane,Heimisch
55,Platane,Heimisch
40,Platane,Heimisch
35,Platane,Heimisch
40,Platane,Heimisch
50,Platane,Heimisch
35,Platane,Heimisch
40,Platane,Heimisch
40,Platane,Heimisch
40,Platane,Heimisch
45,Platane,Heimisch
35,Platane,Heimisch
50,Platane,Heimisch
45,Platane,Heimisch
45,Platane,Heimisch
40,Platane,Heimisch
40,Platane,Heimisch
45,Platane,Heimisch
40,Platane,Heimisch
50,Platane,Heimisch
45,Platane,Heimisch
25,Platane,Heimisch
30,Platane,Heimisch
40,Spitzahorn,Heimisch
45,Platane,Heimisch
40,Platane,Heimisch
40,Platane,Heimisch
60,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
40,Platane,Heimisch
45,Platane,Heimisch
30,Platane,Heimisch
5,"Ginkgobaum, Fächerblattbaum",Andere
55,"Hainbuche, Weißbuche",Heimisch
55,"Crataegus, Dorn",Heimisch
35,Scheinakazie,Andere
5,Spitzahorn,Heimisch
50,Feldahorn,Heimisch
30,Baumhasel,Andere
20,"Ginkgobaum, Fächerblattbaum",Andere
35,Spitzahorn,Heimisch
30,Sandbirke,Heimisch
35,Sandbirke,Heimisch
25,"Hainbuche, Weißbuche",Heimisch
15,Sandbirke,Heimisch
10,Linde,Heimisch
85,Linde,Heimisch
5,Linde,Heimisch
40,Linde,Heimisch
50,Linde,Heimisch
10,Linde,Heimisch
10,Linde,Heimisch
80,Linde,Heimisch
75,Linde,Heimisch
55,Kirsche,Heimisch
5,Linde,Heimisch
55,Linde,Heimisch
10,Linde,Heimisch
5,Linde,Heimisch
65,Linde,Heimisch
10,Linde,Heimisch
20,Linde,Heimisch
55,Linde,Heimisch
40,Ahorn,Heimisch
5,Linde,Heimisch
10,Linde,Heimisch
10,Linde,Heimisch
10,Linde,Heimisch
10,Linde,Heimisch
85,Linde,Heimisch
70,Linde,Heimisch
15,Linde,Heimisch
25,Linde,Heimisch
30,Ahorn,Heimisch
70,Linde,Heimisch
80,Platane,Heimisch
65,Ahorn,Heimisch
55,Platane,Heimisch
55,Platane,Heimisch
50,Platane,Heimisch
55,Platane,Heimisch
55,Platane,Heimisch
50,Platane,Heimisch
40,Platane,Heimisch
35,Platane,Heimisch
35,Platane,Heimisch
30,Platane,Heimisch
35,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
40,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
35,Platane,Heimisch
40,Platane,Heimisch
25,Platane,Heimisch
30,Platane,Heimisch
45,Platane,Heimisch
25,Platane,Heimisch
20,Platane,Heimisch
35,Platane,Heimisch
35,Platane,Heimisch
25,Platane,Heimisch
25,Platane,Heimisch
20,Platane,Heimisch
65,Birke,Heimisch
45,Ahorn,Heimisch
10,Ahorn,Heimisch
30,Ahorn,Heimisch
50,Birke,Heimisch
50,Birke,Heimisch
40,Birke,Heimisch
40,Birke,Heimisch
50,Birke,Heimisch
50,Ahorn,Heimisch
50,Birke,Heimisch
40,Birke,Heimisch
25,Ahorn,Heimisch
50,Birke,Heimisch
40,Ahorn,Heimisch
30,Scheinakazie,Andere
30,Scheinakazie,Andere
10,Scheinakazie,Andere
20,Scheinakazie,Andere
20,Scheinakazie,Andere
15,Kugelahorn,Heimisch
5,Scheinakazie,Andere
10,Scheinakazie,Andere
15,Scheinakazie,Andere
50,Scheinakazie,Andere
15,Kugelahorn,Heimisch
15,Kugelahorn,Heimisch
20,Ahorn,Heimisch
65,Platane,Heimisch
5,Scheinakazie,Andere
25,Scheinakazie,Andere
10,Scheinakazie,Andere
65,Ahorn,Heimisch
20,Scheinakazie,Andere
25,Scheinakazie,Andere
20,Platane,Heimisch
25,Scheinakazie,Andere
20,Scheinakazie,Andere
5,Scheinakazie,Andere
25,Scheinakazie,Andere
30,Scheinakazie,Andere
25,Scheinakazie,Andere
35,Scheinakazie,Andere
30,Scheinakazie,Andere
50,Scheinakazie,Andere
45,Ahorn,Heimisch
40,Linde,Heimisch
40,Ungarische Eiche,Andere
70,Bergahorn,Heimisch
75,Roßkastanie,Heimisch
85,"Hainbuche, Weißbuche",Heimisch
25,"Hainbuche, Weißbuche",Heimisch
40,Platane,Heimisch
25,Roßkastanie,Heimisch
120,Gemeine Esche,Heimisch
5,Gemeine Esche,Heimisch
30,Kugelahorn,Heimisch
20,Straßen-Akazie,Andere
30,Scheinakazie,Andere
30,Kugelahorn,Heimisch
30,Kugelahorn,Heimisch
60,Scheinakazie,Andere
30,Kugelahorn,Heimisch
20,Ahorn,Heimisch
25,Straßen-Akazie,Andere
20,Kugelahorn,Heimisch
20,Ahorn,Heimisch
20,Ahorn,Heimisch
45,Scheinakazie,Andere
5,Scheinakazie,Andere
25,Scheinakazie,Andere
15,Scheinakazie,Andere
15,Scheinakazie,Andere
5,Scheinakazie,Andere
30,Scheinakazie,Andere
20,Scheinakazie,Andere
15,Scheinakazie,Andere
40,Scheinakazie,Andere
55,Scheinakazie,Andere
20,Scheinakazie,Andere
30,Scheinakazie,Andere
50,Scheinakazie,Andere
40,Scheinakazie,Andere
30,Scheinakazie,Andere
30,Scheinakazie,Andere
35,Scheinakazie,Andere
30,Scheinakazie,Andere
45,Scheinakazie,Andere
40,Scheinakazie,Andere
35,Scheinakazie,Andere
25,Scheinakazie,Andere
20,Scheinakazie,Andere
20,Scheinakazie,Andere
30,Scheinakazie,Andere
15,Scheinakazie,Andere
30,Scheinakazie,Andere
10,Scheinakazie,Andere
10,Scheinakazie,Andere
30,Scheinakazie,Andere
20,Scheinakazie,Andere
40,Scheinakazie,Andere
35,Scheinakazie,Andere
25,Scheinakazie,Andere
10,Scheinakazie,Andere
25,Scheinakazie,Andere
25,Scheinakazie,Andere
20,Scheinakazie,Andere
30,Scheinakazie,Andere
10,Scheinakazie,Andere
25,Scheinakazie,Andere
30,Scheinakazie,Andere
35,Scheinakazie,Andere
20,Scheinakazie,Andere
30,Kugelahorn,Heimisch
30,Scheinakazie,Andere
30,Scheinakazie,Andere
20,Scheinakazie,Andere
20,Straßen-Akazie,Andere
30,Scheinakazie,Andere
30,Kugelahorn,Heimisch
30,Kugelahorn,Heimisch
30,Scheinakazie,Andere
40,Scheinakazie,Andere
25,Scheinakazie,Andere
25,Scheinakazie,Andere
30,Scheinakazie,Andere
25,Scheinakazie,Andere
60,Scheinakazie,Andere
20,Scheinakazie,Andere
30,Scheinakazie,Andere
5,Scheinakazie,Andere
30,Scheinakazie,Andere
20,Scheinakazie,Andere
50,Scheinakazie,Andere
30,Scheinakazie,Andere
30,Scheinakazie,Andere
15,Scheinakazie,Andere
10,Scheinakazie,Andere
40,Scheinakazie,Andere
40,Scheinakazie,Andere
10,Scheinakazie,Andere
30,Kugelahorn,Heimisch
20,Ahorn,Heimisch
25,Straßen-Akazie,Andere
20,Kugelahorn,Heimisch
35,Scheinakazie,Andere
20,Scheinakazie,Andere
10,Scheinakazie,Andere
10,Scheinakazie,Andere
30,Scheinakazie,Andere
50,Scheinakazie,Andere
25,Scheinakazie,Andere
45,Scheinakazie,Andere
15,Scheinakazie,Andere
30,Scheinakazie,Andere
5,Scheinakazie,Andere
5,Scheinakazie,Andere
10,Scheinakazie,Andere
20,Scheinakazie,Andere
10,Scheinakazie,Andere
20,Scheinakazie,Andere
25,Scheinakazie,Andere
45,Scheinakazie,Andere
50,Scheinakazie,Andere
20,Ahorn,Heimisch
20,Ahorn,Heimisch
20,Scheinakazie,Andere
25,Scheinakazie,Andere
20,Scheinakazie,Andere
40,Scheinakazie,Andere
35,Scheinakazie,Andere
5,Scheinakazie,Andere
15,Scheinakazie,Andere
25,Scheinakazie,Andere
20,Scheinakazie,Andere
30,Scheinakazie,Andere
25,Scheinakazie,Andere
25,Scheinakazie,Andere
25,Scheinakazie,Andere
15,Scheinakazie,Andere
25,Scheinakazie,Andere
5,Scheinakazie,Andere
30,Scheinakazie,Andere
45,Scheinakazie,Andere
10,Scheinakazie,Andere
30,Scheinakazie,Andere
10,Scheinakazie,Andere
50,Platane,Heimisch
20,Platane,Heimisch
45,Platane,Heimisch
50,Platane,Heimisch
35,Scheinakazie,Andere
45,Platane,Heimisch
50,Platane,Heimisch
45,Platane,Heimisch
50,Platane,Heimisch
60,Platane,Heimisch
45,Platane,Heimisch
20,Scheinakazie,Andere
55,Platane,Heimisch
65,Platane,Heimisch
60,Platane,Heimisch
60,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
10,Platane,Heimisch
75,Platane,Heimisch
75,Platane,Heimisch
40,Platane,Heimisch
60,Platane,Heimisch
75,Platane,Heimisch
70,Platane,Heimisch
45,Platane,Heimisch
25,Platane,Heimisch
20,Platane,Heimisch
90,Platane,Heimisch
60,Platane,Heimisch
50,Platane,Heimisch
10,Platane,Heimisch
20,Platane,Heimisch
25,Platane,Heimisch
30,Platane,Heimisch
60,Platane,Heimisch
25,Platane,Heimisch
75,Platane,Heimisch
15,Platane,Heimisch
75,Platane,Heimisch
70,Platane,Heimisch
15,Platane,Heimisch
35,Platane,Heimisch
55,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
20,Platane,Heimisch
50,Platane,Heimisch
50,Platane,Heimisch
15,Baumhasel,Andere
10,Platane,Heimisch
35,Kastanie,Heimisch
50,"Sommer-Eiche, Stieleiche",Heimisch
40,"Sommer-Eiche, Stieleiche",Heimisch
50,"Sommer-Eiche, Stieleiche",Heimisch
50,"Sommer-Eiche, Stieleiche",Heimisch
55,"Sommer-Eiche, Stieleiche",Heimisch
45,"Sommer-Eiche, Stieleiche",Heimisch
50,"Sommer-Eiche, Stieleiche",Heimisch
50,"Sommer-Eiche, Stieleiche",Heimisch
50,"Sommer-Eiche, Stieleiche",Heimisch
50,"Sommer-Eiche, Stieleiche",Heimisch
35,"Sommer-Eiche, Stieleiche",Heimisch
55,"Sommer-Eiche, Stieleiche",Heimisch
50,"Sommer-Eiche, Stieleiche",Heimisch
50,"Sommer-Eiche, Stieleiche",Heimisch
50,"Sommer-Eiche, Stieleiche",Heimisch
30,Ahorn,Heimisch
25,Sandbirke,Heimisch
50,Schwedische Mehlbeere,Andere
45,Ahorn,Heimisch
35,Ahorn,Heimisch
25,Ahorn,Heimisch
25,Ahorn,Heimisch
15,Ahorn,Heimisch
45,Ahorn,Heimisch
45,Ahorn,Heimisch
20,Ahorn,Heimisch
65,Ahorn,Heimisch
45,Ahorn,Heimisch
45,Ahorn,Heimisch
50,Ahorn,Heimisch
45,Ahorn,Heimisch
80,Ahorn,Heimisch
75,Ahorn,Heimisch
75,Ahorn,Heimisch
45,Ahorn,Heimisch
65,Ahorn,Heimisch
30,Ahorn,Heimisch
75,Ahorn,Heimisch
45,Ahorn,Heimisch
30,Ahorn,Heimisch
35,Ahorn,Heimisch
40,Ahorn,Heimisch
75,Ahorn,Heimisch
55,Ahorn,Heimisch
65,Ahorn,Heimisch
45,Silber-Ahorn,Andere
75,Ahorn,Heimisch
50,Ahorn,Heimisch
35,Ahorn,Heimisch
35,Ahorn,Heimisch
40,Ahorn,Heimisch
55,Ahorn,Heimisch
35,Ahorn,Heimisch
35,Ahorn,Heimisch
20,Ahorn,Heimisch
10,Ahorn,Heimisch
25,Ahorn,Heimisch
30,Ahorn,Heimisch
35,Ahorn,Heimisch
10,Ahorn,Heimisch
40,Silber-Ahorn,Andere
40,Ahorn,Heimisch
10,Ahorn,Heimisch
20,Ahorn,Heimisch
30,Ahorn,Heimisch
55,Ahorn,Heimisch
10,Ahorn,Heimisch
55,Ahorn,Heimisch
35,Ahorn,Heimisch
55,Ahorn,Heimisch
70,Ahorn,Heimisch
15,Ahorn,Heimisch
50,Ahorn,Heimisch
50,Ahorn,Heimisch
15,Ahorn,Heimisch
20,Ahorn,Heimisch
10,Ahorn,Heimisch
25,Ahorn,Heimisch
40,Ahorn,Heimisch
40,Ahorn,Heimisch
5,Ahorn,Heimisch
30,Ahorn,Heimisch
65,Ahorn,Heimisch
40,Ahorn,Heimisch
70,Ahorn,Heimisch
35,Ahorn,Heimisch
40,Ahorn,Heimisch
30,Ahorn,Heimisch
10,Ahorn,Heimisch
55,Ahorn,Heimisch
45,Ahorn,Heimisch
30,Ahorn,Heimisch
45,Ahorn,Heimisch
40,Ahorn,Heimisch
40,Ahorn,Heimisch
30,Ahorn,Heimisch
25,Ahorn,Heimisch
10,Ahorn,Heimisch
35,Ahorn,Heimisch
25,Ahorn,Heimisch
50,Ahorn,Heimisch
30,Ahorn,Heimisch
40,Ahorn,Heimisch
15,Ahorn,Heimisch
15,Ahorn,Heimisch
70,Ahorn,Heimisch
25,Ahorn,Heimisch
50,Ahorn,Heimisch
20,Linde,Heimisch
65,Linde,Heimisch
65,Linde,Heimisch
65,Linde,Heimisch
65,Linde,Heimisch
30,Linde,Heimisch
60,Krimlinde,Heimisch
75,Linde,Heimisch
65,Linde,Heimisch
55,Linde,Heimisch
40,Linde,Heimisch
70,Linde,Heimisch
70,Linde,Heimisch
60,Linde,Heimisch
75,Linde,Heimisch
70,Linde,Heimisch
80,Linde,Heimisch
75,Linde,Heimisch
70,Linde,Heimisch
70,Linde,Heimisch
25,Linde,Heimisch
65,Linde,Heimisch
50,Linde,Heimisch
35,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
40,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
30,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
30,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
15,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
30,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
40,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
30,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
35,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
35,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
35,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
35,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
30,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
35,Linde,Heimisch
85,Krimlinde,Heimisch
85,Krimlinde,Heimisch
80,Krimlinde,Heimisch
85,Krimlinde,Heimisch
55,Krimlinde,Heimisch
15,Linde,Heimisch
15,Linde,Heimisch
